,Rk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
70,71,"Nov 23, 2024",12:00 PM,Sat,(2) Ohio State,38,,(5) Indiana,15,
71,72,"Nov 23, 2024",3:30 PM,Sat,(4) Penn State,26,@,Minnesota,25,
72,73,"Nov 23, 2024",10:30 PM,Sat,Southern California,19,@,UCLA,13,
73,74,"Nov 29, 2024",7:30 PM,Fri,Iowa,13,,Nebraska,10,
74,75,"Nov 29, 2024",12:00 PM,Fri,Minnesota,24,@,Wisconsin,7,
75,76,"Nov 30, 2024",12:00 PM,Sat,(22) Illinois,38,@,Northwestern,28,
76,77,"Nov 30, 2024",7:00 PM,Sat,(10) Indiana,66,,Purdue,0,
77,78,"Nov 30, 2024",12:00 PM,Sat,Michigan,13,@,(2) Ohio State,10,
78,79,"Nov 30, 2024",7:30 PM,Sat,(1) Oregon,49,,Washington,21,
79,80,"Nov 30, 2024",3:30 PM,Sat,(4) Penn State,44,,Maryland,7,
80,81,"Nov 30, 2024",3:30 PM,Sat,Rutgers,41,@,Michigan State,14,
81,82,"Dec 7, 2024",8:00 PM,Sat,(1) Oregon,45,N,(3) Penn State,37,
82,83,"Jan 1, 2025",5:00 PM,Wed,(6) Ohio State,41,N,(1) Oregon,21,Rose Bowl
